2022-09-29 18:01:25,200 - ERROR - Rank 0 | Episode Reward: 9818.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1014 | Global Worker Step: 1014000
2022-09-29 18:05:28,550 - ERROR - Rank 0 | Episode Reward: 9840.72 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1026 | Global Worker Step: 1026000
2022-09-29 18:08:39,948 - ERROR - Rank 0 | Episode Reward: 9886.89 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1036 | Global Worker Step: 1036000
2022-09-29 18:11:50,948 - ERROR - Rank 0 | Episode Reward: 9919.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1045 | Global Worker Step: 1045000
2022-09-29 18:15:01,321 - ERROR - Rank 0 | Episode Reward: 9842.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1054 | Global Worker Step: 1054000
2022-09-29 18:19:02,360 - ERROR - Rank 0 | Episode Reward: 9250.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1067 | Global Worker Step: 1067000
2022-09-29 18:22:11,607 - ERROR - Rank 0 | Episode Reward: 9898.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1076 | Global Worker Step: 1076000
2022-09-29 18:25:21,967 - ERROR - Rank 0 | Episode Reward: 9935.40 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1085 | Global Worker Step: 1085000
2022-09-29 18:28:32,408 - ERROR - Rank 0 | Episode Reward: 9988.90 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1095 | Global Worker Step: 1095000
2022-09-29 18:31:42,481 - ERROR - Rank 0 | Episode Reward: 9015.98 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1104 | Global Worker Step: 1104000
2022-09-29 18:34:52,242 - ERROR - Rank 0 | Episode Reward: 9881.17 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1113 | Global Worker Step: 1113000
2022-09-29 18:38:54,013 - ERROR - Rank 0 | Episode Reward: 9509.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1126 | Global Worker Step: 1126000
2022-09-29 18:42:02,462 - ERROR - Rank 0 | Episode Reward: 9872.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1135 | Global Worker Step: 1135000
2022-09-29 18:45:13,761 - ERROR - Rank 0 | Episode Reward: 9882.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1144 | Global Worker Step: 1144000
2022-09-29 18:48:23,540 - ERROR - Rank 0 | Episode Reward: 9778.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1154 | Global Worker Step: 1154000
2022-09-29 18:52:24,969 - ERROR - Rank 0 | Episode Reward: 9852.11 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1167 | Global Worker Step: 1167000
2022-09-29 18:55:33,776 - ERROR - Rank 0 | Episode Reward: 9895.54 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1175 | Global Worker Step: 1175000
2022-09-29 18:58:43,526 - ERROR - Rank 0 | Episode Reward: 9551.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1185 | Global Worker Step: 1185000
2022-09-29 19:01:52,743 - ERROR - Rank 0 | Episode Reward: 9804.72 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1195 | Global Worker Step: 1195000
2022-09-29 19:05:02,144 - ERROR - Rank 0 | Episode Reward: 9885.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1203 | Global Worker Step: 1203000
2022-09-29 19:09:03,085 - ERROR - Rank 0 | Episode Reward: 9704.75 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1216 | Global Worker Step: 1216000
2022-09-29 19:12:13,581 - ERROR - Rank 0 | Episode Reward: 9934.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1226 | Global Worker Step: 1226000
2022-09-29 19:15:24,344 - ERROR - Rank 0 | Episode Reward: 9793.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1235 | Global Worker Step: 1235000
2022-09-29 19:18:33,370 - ERROR - Rank 0 | Episode Reward: 9745.52 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1244 | Global Worker Step: 1244000
2022-09-29 19:22:35,571 - ERROR - Rank 0 | Episode Reward: 9760.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1257 | Global Worker Step: 1257000
2022-09-29 19:25:43,985 - ERROR - Rank 0 | Episode Reward: 9844.10 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1266 | Global Worker Step: 1266000
2022-09-29 19:28:52,879 - ERROR - Rank 0 | Episode Reward: 9619.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1275 | Global Worker Step: 1275000
2022-09-29 19:32:01,694 - ERROR - Rank 0 | Episode Reward: 9846.30 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1285 | Global Worker Step: 1285000
2022-09-29 19:35:13,091 - ERROR - Rank 0 | Episode Reward: 9922.20 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1294 | Global Worker Step: 1294000
2022-09-29 19:39:13,271 - ERROR - Rank 0 | Episode Reward: 9745.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1306 | Global Worker Step: 1306000
2022-09-29 19:42:21,490 - ERROR - Rank 0 | Episode Reward: 9894.65 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1316 | Global Worker Step: 1316000
2022-09-29 19:45:29,622 - ERROR - Rank 0 | Episode Reward: 9817.07 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1324 | Global Worker Step: 1324000
2022-09-29 19:49:32,609 - ERROR - Rank 0 | Episode Reward: 9801.22 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1337 | Global Worker Step: 1337000
2022-09-29 19:52:41,849 - ERROR - Rank 0 | Episode Reward: 9727.58 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1347 | Global Worker Step: 1347000
2022-09-29 19:55:50,769 - ERROR - Rank 0 | Episode Reward: 9899.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1355 | Global Worker Step: 1355000
2022-09-29 19:59:00,463 - ERROR - Rank 0 | Episode Reward: 9932.57 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1365 | Global Worker Step: 1365000
2022-09-29 20:02:12,868 - ERROR - Rank 0 | Episode Reward: 9914.84 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1375 | Global Worker Step: 1375000
2022-09-29 20:05:23,211 - ERROR - Rank 0 | Episode Reward: 9834.12 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1383 | Global Worker Step: 1383000
2022-09-29 20:09:24,408 - ERROR - Rank 0 | Episode Reward: 9942.56 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1396 | Global Worker Step: 1396000
2022-09-29 20:12:33,845 - ERROR - Rank 0 | Episode Reward: 9755.36 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1406 | Global Worker Step: 1406000
2022-09-29 20:15:42,354 - ERROR - Rank 0 | Episode Reward: 9812.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1414 | Global Worker Step: 1414000
2022-09-29 20:19:42,572 - ERROR - Rank 0 | Episode Reward: 9720.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1427 | Global Worker Step: 1427000
2022-09-29 20:22:50,669 - ERROR - Rank 0 | Episode Reward: 9927.26 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1437 | Global Worker Step: 1437000
2022-09-29 20:26:00,680 - ERROR - Rank 0 | Episode Reward: 9810.21 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1445 | Global Worker Step: 1445000
2022-09-29 20:29:11,517 - ERROR - Rank 0 | Episode Reward: 9927.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1455 | Global Worker Step: 1455000
2022-09-29 20:32:21,672 - ERROR - Rank 0 | Episode Reward: 9938.71 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1465 | Global Worker Step: 1465000
2022-09-29 20:35:31,837 - ERROR - Rank 0 | Episode Reward: 10040.24 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1473 | Global Worker Step: 1473000
