2022-09-28 20:50:16,492 - INFO - Rank 0 | Global Episode: 101 | Episode Reward: 3565.32 | Local step: 1000 | Global worker step: 100290 | Update step: 2935 | Worker id: 3 | Elapsed time: 00:01:54
2022-09-28 20:50:17,184 - INFO - Rank 0 | Global Episode: 102 | Episode Reward: 3580.79 | Local step: 1000 | Global worker step: 101290 | Update step: 2953 | Worker id: 4 | Elapsed time: 00:01:54
2022-09-28 20:50:17,433 - INFO - Rank 0 | Global Episode: 103 | Episode Reward: 3587.56 | Local step: 1000 | Global worker step: 102290 | Update step: 2960 | Worker id: 0 | Elapsed time: 00:01:55
2022-09-28 20:50:19,003 - INFO - Rank 0 | Global Episode: 104 | Episode Reward: 3555.49 | Local step: 1000 | Global worker step: 103290 | Update step: 2982 | Worker id: 5 | Elapsed time: 00:01:56
2022-09-28 20:50:19,736 - INFO - Rank 0 | Global Episode: 105 | Episode Reward: 3574.98 | Local step: 1000 | Global worker step: 104290 | Update step: 2996 | Worker id: 3 | Elapsed time: 00:01:57
2022-09-28 20:50:20,451 - INFO - Rank 0 | Global Episode: 106 | Episode Reward: 3539.84 | Local step: 1000 | Global worker step: 105290 | Update step: 3008 | Worker id: 4 | Elapsed time: 00:01:58
2022-09-28 20:50:21,892 - INFO - Rank 0 | Global Episode: 107 | Episode Reward: 3516.85 | Local step: 1000 | Global worker step: 106290 | Update step: 3034 | Worker id: 5 | Elapsed time: 00:01:59
2022-09-28 20:50:22,618 - INFO - Rank 0 | Global Episode: 108 | Episode Reward: 3584.55 | Local step: 1000 | Global worker step: 107290 | Update step: 3047 | Worker id: 3 | Elapsed time: 00:02:00
2022-09-28 20:50:23,338 - INFO - Rank 0 | Global Episode: 109 | Episode Reward: 3593.48 | Local step: 1000 | Global worker step: 108290 | Update step: 3060 | Worker id: 4 | Elapsed time: 00:02:01
2022-09-28 20:50:24,892 - INFO - Rank 0 | Global Episode: 110 | Episode Reward: 3583.62 | Local step: 1000 | Global worker step: 109290 | Update step: 3087 | Worker id: 5 | Elapsed time: 00:02:02
2022-09-28 20:50:25,578 - INFO - Rank 0 | Global Episode: 111 | Episode Reward: 3575.85 | Local step: 1000 | Global worker step: 110290 | Update step: 3100 | Worker id: 3 | Elapsed time: 00:02:03
2022-09-28 20:50:26,317 - INFO - Rank 0 | Global Episode: 112 | Episode Reward: 3567.57 | Local step: 1000 | Global worker step: 111290 | Update step: 3113 | Worker id: 4 | Elapsed time: 00:02:04
