2022-10-04 21:29:40,098 - ERROR - Rank 0 | Episode Reward: 9763.28 | Success cnt: 10 | Local Step: 1000 | Global Episode: 352 | Global Worker Step: 352000| Sparsification ratio : 94.686
2022-10-04 21:31:30,382 - ERROR - Rank 0 | Episode Reward: 9829.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 357 | Global Worker Step: 357000| Sparsification ratio : 94.823
2022-10-04 21:33:21,172 - ERROR - Rank 0 | Episode Reward: 9883.59 | Success cnt: 10 | Local Step: 1000 | Global Episode: 361 | Global Worker Step: 361000| Sparsification ratio : 94.679
2022-10-04 21:35:12,293 - ERROR - Rank 0 | Episode Reward: 9860.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 366 | Global Worker Step: 366000| Sparsification ratio : 94.237
2022-10-04 21:37:03,237 - ERROR - Rank 0 | Episode Reward: 9841.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 371 | Global Worker Step: 371000| Sparsification ratio : 94.647
2022-10-04 21:38:54,492 - ERROR - Rank 0 | Episode Reward: 9829.53 | Success cnt: 10 | Local Step: 1000 | Global Episode: 376 | Global Worker Step: 376000| Sparsification ratio : 95.191
2022-10-04 21:40:45,209 - ERROR - Rank 0 | Episode Reward: 9842.70 | Success cnt: 10 | Local Step: 1000 | Global Episode: 380 | Global Worker Step: 380000| Sparsification ratio : 95.211
2022-10-04 21:42:35,650 - ERROR - Rank 0 | Episode Reward: 9914.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 385 | Global Worker Step: 385000| Sparsification ratio : 94.637
2022-10-04 21:44:27,458 - ERROR - Rank 0 | Episode Reward: 9865.13 | Success cnt: 10 | Local Step: 1000 | Global Episode: 390 | Global Worker Step: 390000| Sparsification ratio : 95.386
2022-10-04 21:46:19,221 - ERROR - Rank 0 | Episode Reward: 9775.61 | Success cnt: 10 | Local Step: 1000 | Global Episode: 394 | Global Worker Step: 394000| Sparsification ratio : 95.667
2022-10-04 21:48:08,166 - ERROR - Rank 0 | Episode Reward: 9895.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 399 | Global Worker Step: 399000| Sparsification ratio : 94.969
2022-10-04 21:49:56,026 - ERROR - Rank 0 | Episode Reward: 9907.01 | Success cnt: 10 | Local Step: 1000 | Global Episode: 404 | Global Worker Step: 404000| Sparsification ratio : 95.228
2022-10-04 21:51:45,921 - ERROR - Rank 0 | Episode Reward: 9868.25 | Success cnt: 10 | Local Step: 1000 | Global Episode: 409 | Global Worker Step: 409000| Sparsification ratio : 94.736
2022-10-04 21:53:34,672 - ERROR - Rank 0 | Episode Reward: 9938.71 | Success cnt: 10 | Local Step: 1000 | Global Episode: 413 | Global Worker Step: 413000| Sparsification ratio : 94.997
2022-10-04 21:55:23,017 - ERROR - Rank 0 | Episode Reward: 9805.14 | Success cnt: 10 | Local Step: 1000 | Global Episode: 418 | Global Worker Step: 418000| Sparsification ratio : 94.831
2022-10-04 21:57:11,629 - ERROR - Rank 0 | Episode Reward: 9929.52 | Success cnt: 10 | Local Step: 1000 | Global Episode: 423 | Global Worker Step: 423000| Sparsification ratio : 94.756
2022-10-04 21:59:00,665 - ERROR - Rank 0 | Episode Reward: 9931.15 | Success cnt: 10 | Local Step: 1000 | Global Episode: 428 | Global Worker Step: 428000| Sparsification ratio : 94.954
2022-10-04 22:00:50,039 - ERROR - Rank 0 | Episode Reward: 9875.62 | Success cnt: 10 | Local Step: 1000 | Global Episode: 432 | Global Worker Step: 432000| Sparsification ratio : 95.183
2022-10-04 22:02:38,350 - ERROR - Rank 0 | Episode Reward: 9864.06 | Success cnt: 10 | Local Step: 1000 | Global Episode: 437 | Global Worker Step: 437000| Sparsification ratio : 95.079
2022-10-04 22:04:28,072 - ERROR - Rank 0 | Episode Reward: 9875.48 | Success cnt: 10 | Local Step: 1000 | Global Episode: 442 | Global Worker Step: 442000| Sparsification ratio : 96.015
2022-10-04 22:06:17,709 - ERROR - Rank 0 | Episode Reward: 9845.07 | Success cnt: 10 | Local Step: 1000 | Global Episode: 447 | Global Worker Step: 447000| Sparsification ratio : 95.198
2022-10-04 22:08:07,343 - ERROR - Rank 0 | Episode Reward: 9936.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 451 | Global Worker Step: 451000| Sparsification ratio : 95.247
2022-10-04 22:09:55,788 - ERROR - Rank 0 | Episode Reward: 9894.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 456 | Global Worker Step: 456000| Sparsification ratio : 96.058
2022-10-04 22:11:45,286 - ERROR - Rank 0 | Episode Reward: 9882.43 | Success cnt: 10 | Local Step: 1000 | Global Episode: 461 | Global Worker Step: 461000| Sparsification ratio : 94.919
2022-10-04 22:13:38,753 - ERROR - Rank 0 | Episode Reward: 9750.12 | Success cnt: 10 | Local Step: 1000 | Global Episode: 466 | Global Worker Step: 466000| Sparsification ratio : 95.462
2022-10-04 22:15:28,552 - ERROR - Rank 0 | Episode Reward: 9961.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 471 | Global Worker Step: 471000| Sparsification ratio : 95.316
2022-10-04 22:17:17,638 - ERROR - Rank 0 | Episode Reward: 9884.98 | Success cnt: 10 | Local Step: 1000 | Global Episode: 475 | Global Worker Step: 475000| Sparsification ratio : 95.736
2022-10-04 22:19:05,900 - ERROR - Rank 0 | Episode Reward: 9881.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 480 | Global Worker Step: 480000| Sparsification ratio : 95.704
2022-10-04 22:20:54,785 - ERROR - Rank 0 | Episode Reward: 9733.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 485 | Global Worker Step: 485000| Sparsification ratio : 95.765
