2022-09-27 06:54:54,520 - ERROR - Rank 0 | Episode Reward: 1437.92 | Success cnt: 0 | Local Step: 145 | Global Episode: 1508 | Global Worker Step: 960615
2022-09-27 07:03:38,662 - ERROR - Rank 0 | Episode Reward: 9359.63 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1518 | Global Worker Step: 970405
2022-09-27 07:12:41,794 - ERROR - Rank 0 | Episode Reward: 9352.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1530 | Global Worker Step: 980573
2022-09-27 07:21:13,031 - ERROR - Rank 0 | Episode Reward: 9351.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1540 | Global Worker Step: 990125
2022-09-27 07:31:46,400 - ERROR - Rank 0 | Episode Reward: 9358.68 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1552 | Global Worker Step: 1000648
2022-09-27 07:52:18,791 - ERROR - Rank 0 | Episode Reward: 9359.81 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1562 | Global Worker Step: 1010648
2022-09-27 08:12:49,545 - ERROR - Rank 0 | Episode Reward: 9359.74 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1572 | Global Worker Step: 1020648
2022-09-27 08:33:20,945 - ERROR - Rank 0 | Episode Reward: 9359.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1582 | Global Worker Step: 1030648
2022-09-27 08:53:51,940 - ERROR - Rank 0 | Episode Reward: 9358.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1592 | Global Worker Step: 1040648
2022-09-27 09:14:23,113 - ERROR - Rank 0 | Episode Reward: 9359.82 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1602 | Global Worker Step: 1050648
2022-09-27 09:35:00,696 - ERROR - Rank 0 | Episode Reward: 9359.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1612 | Global Worker Step: 1060648
2022-09-27 09:55:26,226 - ERROR - Rank 0 | Episode Reward: 8519.03 | Success cnt: 9 | Local Step: 1000 | Global Episode: 1622 | Global Worker Step: 1070648
2022-09-27 10:15:59,232 - ERROR - Rank 0 | Episode Reward: 9358.03 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1632 | Global Worker Step: 1080648
2022-09-27 10:36:35,824 - ERROR - Rank 0 | Episode Reward: 9357.14 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1642 | Global Worker Step: 1090648
2022-09-27 10:57:10,459 - ERROR - Rank 0 | Episode Reward: 9358.90 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1652 | Global Worker Step: 1100648
2022-09-27 11:17:43,850 - ERROR - Rank 0 | Episode Reward: 9359.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1662 | Global Worker Step: 1110648
2022-09-27 11:38:19,490 - ERROR - Rank 0 | Episode Reward: 9358.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1672 | Global Worker Step: 1120648
2022-09-27 11:58:53,899 - ERROR - Rank 0 | Episode Reward: 9359.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1682 | Global Worker Step: 1130648
2022-09-27 12:19:29,368 - ERROR - Rank 0 | Episode Reward: 9359.79 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1692 | Global Worker Step: 1140648
2022-09-27 12:40:02,732 - ERROR - Rank 0 | Episode Reward: 9358.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1702 | Global Worker Step: 1150648
2022-09-27 13:00:40,560 - ERROR - Rank 0 | Episode Reward: 9358.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1712 | Global Worker Step: 1160648
2022-09-27 13:21:16,345 - ERROR - Rank 0 | Episode Reward: 9358.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1722 | Global Worker Step: 1170648
2022-09-27 13:41:53,409 - ERROR - Rank 0 | Episode Reward: 9357.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1732 | Global Worker Step: 1180648
2022-09-27 14:02:25,883 - ERROR - Rank 0 | Episode Reward: 9359.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1742 | Global Worker Step: 1190648
2022-09-27 14:22:59,510 - ERROR - Rank 0 | Episode Reward: 9359.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1752 | Global Worker Step: 1200648
2022-09-27 14:43:35,595 - ERROR - Rank 0 | Episode Reward: 9358.02 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1762 | Global Worker Step: 1210648
2022-09-27 15:04:06,029 - ERROR - Rank 0 | Episode Reward: 9359.00 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1772 | Global Worker Step: 1220648
2022-09-27 15:24:42,277 - ERROR - Rank 0 | Episode Reward: 9359.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1782 | Global Worker Step: 1230648
2022-09-27 15:45:12,787 - ERROR - Rank 0 | Episode Reward: 9358.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1792 | Global Worker Step: 1240648
2022-09-27 16:05:45,963 - ERROR - Rank 0 | Episode Reward: 9359.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1802 | Global Worker Step: 1250648
2022-09-27 16:26:21,939 - ERROR - Rank 0 | Episode Reward: 9357.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1812 | Global Worker Step: 1260648
2022-09-27 16:46:53,387 - ERROR - Rank 0 | Episode Reward: 9358.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1822 | Global Worker Step: 1270648
2022-09-27 17:07:30,037 - ERROR - Rank 0 | Episode Reward: 9359.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1832 | Global Worker Step: 1280648
2022-09-27 17:28:04,992 - ERROR - Rank 0 | Episode Reward: 9358.92 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1842 | Global Worker Step: 1290648
2022-09-27 17:48:38,932 - ERROR - Rank 0 | Episode Reward: 9358.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1852 | Global Worker Step: 1300648
2022-09-27 18:09:13,181 - ERROR - Rank 0 | Episode Reward: 9358.91 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1862 | Global Worker Step: 1310648
2022-09-27 18:29:49,507 - ERROR - Rank 0 | Episode Reward: 9358.93 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1872 | Global Worker Step: 1320648
2022-09-27 18:50:23,887 - ERROR - Rank 0 | Episode Reward: 9357.95 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1882 | Global Worker Step: 1330648
2022-09-27 19:10:59,390 - ERROR - Rank 0 | Episode Reward: 9359.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1892 | Global Worker Step: 1340648
2022-09-27 19:31:34,393 - ERROR - Rank 0 | Episode Reward: 9359.85 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1902 | Global Worker Step: 1350648
2022-09-27 19:52:10,236 - ERROR - Rank 0 | Episode Reward: 9357.99 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1912 | Global Worker Step: 1360648
2022-09-27 20:12:42,234 - ERROR - Rank 0 | Episode Reward: 9359.83 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1922 | Global Worker Step: 1370648
2022-09-27 20:33:18,907 - ERROR - Rank 0 | Episode Reward: 9359.87 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1932 | Global Worker Step: 1380648
2022-09-27 20:53:51,389 - ERROR - Rank 0 | Episode Reward: 9357.11 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1942 | Global Worker Step: 1390648
2022-09-27 21:14:22,932 - ERROR - Rank 0 | Episode Reward: 9359.80 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1952 | Global Worker Step: 1400648
2022-09-27 21:34:56,332 - ERROR - Rank 0 | Episode Reward: 9359.88 | Success cnt: 10 | Local Step: 1000 | Global Episode: 1962 | Global Worker Step: 1410648
