2022-10-02 06:20:08,718 - ERROR - Rank 0 | Episode Reward: 3553.14 | Success cnt: 9 | Local Step: 1000 | Global Episode: 671 | Global Worker Step: 668087
2022-10-02 06:22:34,729 - ERROR - Rank 0 | Episode Reward: 3567.52 | Success cnt: 10 | Local Step: 1000 | Global Episode: 678 | Global Worker Step: 674995
2022-10-02 06:25:01,212 - ERROR - Rank 0 | Episode Reward: 3579.45 | Success cnt: 10 | Local Step: 1000 | Global Episode: 685 | Global Worker Step: 681995
2022-10-02 06:27:24,882 - ERROR - Rank 0 | Episode Reward: 3484.92 | Success cnt: 9 | Local Step: 1000 | Global Episode: 692 | Global Worker Step: 688995
2022-10-02 06:29:53,195 - ERROR - Rank 0 | Episode Reward: 3573.47 | Success cnt: 9 | Local Step: 1000 | Global Episode: 697 | Global Worker Step: 693995
2022-10-02 06:32:17,898 - ERROR - Rank 0 | Episode Reward: 3553.23 | Success cnt: 9 | Local Step: 1000 | Global Episode: 704 | Global Worker Step: 700995
2022-10-02 06:34:43,765 - ERROR - Rank 0 | Episode Reward: 3573.19 | Success cnt: 10 | Local Step: 1000 | Global Episode: 711 | Global Worker Step: 707995
2022-10-02 06:37:11,762 - ERROR - Rank 0 | Episode Reward: 3574.35 | Success cnt: 10 | Local Step: 1000 | Global Episode: 718 | Global Worker Step: 714995
2022-10-02 06:39:39,995 - ERROR - Rank 0 | Episode Reward: 3564.86 | Success cnt: 10 | Local Step: 1000 | Global Episode: 725 | Global Worker Step: 721746
2022-10-02 06:42:07,186 - ERROR - Rank 0 | Episode Reward: 3570.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 731 | Global Worker Step: 727746
2022-10-02 06:44:33,595 - ERROR - Rank 0 | Episode Reward: 3588.96 | Success cnt: 10 | Local Step: 1000 | Global Episode: 737 | Global Worker Step: 733746
2022-10-02 06:47:00,791 - ERROR - Rank 0 | Episode Reward: 3569.97 | Success cnt: 10 | Local Step: 1000 | Global Episode: 744 | Global Worker Step: 740746
2022-10-02 06:49:25,541 - ERROR - Rank 0 | Episode Reward: 3531.72 | Success cnt: 9 | Local Step: 1000 | Global Episode: 751 | Global Worker Step: 747746
2022-10-02 06:51:52,653 - ERROR - Rank 0 | Episode Reward: 3579.33 | Success cnt: 10 | Local Step: 1000 | Global Episode: 758 | Global Worker Step: 754746
2022-10-02 06:54:17,383 - ERROR - Rank 0 | Episode Reward: 3535.46 | Success cnt: 9 | Local Step: 1000 | Global Episode: 763 | Global Worker Step: 759746
2022-10-02 06:56:43,817 - ERROR - Rank 0 | Episode Reward: 3573.34 | Success cnt: 10 | Local Step: 1000 | Global Episode: 770 | Global Worker Step: 766415
2022-10-02 06:59:11,085 - ERROR - Rank 0 | Episode Reward: 3568.51 | Success cnt: 10 | Local Step: 1000 | Global Episode: 777 | Global Worker Step: 773223
2022-10-02 07:01:32,664 - ERROR - Rank 0 | Episode Reward: 3403.09 | Success cnt: 8 | Local Step: 1000 | Global Episode: 784 | Global Worker Step: 780223
2022-10-02 07:04:00,778 - ERROR - Rank 0 | Episode Reward: 3574.76 | Success cnt: 10 | Local Step: 1000 | Global Episode: 791 | Global Worker Step: 787223
